name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	6	1	0.0
Buchnera aphidicola	9	species	619958	53	4	0.0
Pelobacter carbinolicus	19	species	3665893	3	1	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcus fulvus	33	species	10026214	14	0	0.0
Myxococcus xanthus	34	species	9139763	14	0	0.0
Stigmatella aurantiaca	41	species	10260756	13	0	0.0
Archangium gephyra	48	species	12489432	14	0	0.0
Chondromyces crocatus	52	species	11388132	1	0	0.0
Sorangium cellulosum	56	species	13907952	1	0	0.0
Cyclobacterium marinum	104	species	6221273	2	0	0.0
Runella slithyformis	106	species	6919729	6	1	0.0
Isosphaera pallida	128	species	5529304	1	1	0.0
Methylocystis	133	genus	0	14	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Borrelia hermsii	140	species	1156143	1	0	0.0
Treponema pallidum	160	species	1138607	1	0	0.0
Leptospira interrogans	173	species	5395453	3	0	0.0
Leptospira borgpetersenii	174	species	3948532	3	0	0.0
Leptospirillum	179	genus	0	8	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	10	0	0.0
Azospirillum brasilense	192	species	13978806	37	4	0.0
Azospirillum lipoferum	193	species	7223069	39	0	0.0
Campylobacter coli	195	species	5104439	9	0	0.0
Campylobacter fetus	196	species	1876301	2	0	0.0
Campylobacter jejuni	197	species	6156435	4	1	0.0
Campylobacter hyointestinalis	198	species	1753331	3	0	0.0
Campylobacter concisus	199	species	1969727	2	0	0.0
Campylobacter curvus	200	species	1971270	3	0	0.0
Campylobacter lari	201	species	1576113	9	0	0.0
Helicobacter pylori	210	species	2044699	2	0	0.0
Helicobacter acinonychis	212	species	1557588	1	0	0.0
Helicobacter cinaedi	213	species	2170766	61	0	0.0
Helicobacter felis	214	species	1672681	2	0	0.0
Helicobacter mustelae	217	species	1578097	61	0	0.0
Alteromonas	226	genus	0	1	0	0.0
Francisella tularensis	263	species	2777166	1	0	0.0
Paracoccus	265	genus	0	1	0	0.0
Paracoccus denitrificans	266	species	5236194	14	5	0.0
Thermus aquaticus	271	species	2338641	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	3	0	0.0
Comamonas testosteroni	285	species	5695231	2	0	0.0
Pseudomonas aeruginosa	287	species	22457305	2	0	0.0
Pseudoalteromonas atlantica	288	species	5187005	6	0	0.0
Burkholderia cepacia	292	species	13365495	1	0	0.0
Pseudomonas fluorescens	294	species	14826544	7	1	0.0
Pseudomonas fragi	296	species	5101809	6	0	0.0
Pseudomonas mendocina	300	species	5293211	2	0	0.0
Pseudomonas putida	303	species	6888188	6	0	0.0
Ralstonia solanacearum	305	species	11186335	15	2	0.0
Pseudomonas stutzeri	316	species	7755802	4	0	0.0
Ralstonia pickettii	329	species	6378979	34	23	7.40618e-07
Xanthomonas campestris	339	species	7063896	3	0	0.0
Xanthomonas translucens	343	species	4638247	1	0	0.0
Xanthomonas citri	346	species	17318955	3	0	0.0
Xanthomonas oryzae	347	species	17545599	3	0	0.0
Azotobacter vinelandii	354	species	5351632	1	1	0.0
Agrobacterium tumefaciens	358	species	9211775	4	0	0.0
Bradyrhizobium japonicum	375	species	9215796	4	0	0.0
Bradyrhizobium sp.	376	species	7547693	2	0	0.0
Rhizobium	379	genus	0	1	0	0.0
Sinorhizobium fredii	380	species	6891900	30	0	0.0
Mesorhizobium loti	381	species	7539018	22	0	0.0
Sinorhizobium meliloti	382	species	6962835	12	8	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Methylobacillus flagellatus	405	species	2971517	6	2	0.0
Methylobacterium	407	genus	0	3	0	0.0
Methylobacterium extorquens	408	species	6163878	5	0	0.0
Methylococcus capsulatus	414	species	3304561	19	1	0.0
Methylomonas methanica	421	species	5051681	6	0	0.0
Acetobacteraceae	433	family	0	2	0	0.0
Acetobacter pasteurianus	438	species	3216979	3	0	0.0
Gluconobacter oxydans	442	species	3306867	96	2	0.0
Acinetobacter baumannii	470	species	11595472	8	2	0.0
Moraxella catarrhalis	480	species	2846413	4	2	0.0
Neisseria gonorrhoeae	485	species	4967431	4	2	0.0
Neisseria lactamica	486	species	2220606	1	0	0.0
Neisseria meningitidis	487	species	8508873	1	0	0.0
Neisseria elongata	495	species	2256647	2	0	0.0
Thermomicrobium roseum	500	species	2920744	4	4	0.0
Kingella kingae	504	species	2140065	1	0	0.0
Alcaligenes faecalis	511	species	4248684	3	0	0.0
Bordetella bronchiseptica	518	species	6491145	9	0	0.0
Bordetella parapertussis	519	species	4815611	9	0	0.0
Bordetella pertussis	520	species	48698463	10	0	0.0
Bordetella avium	521	species	3732255	8	0	0.0
Acidiphilium cryptum	524	species	3963080	3	0	0.0
Beijerinckia	532	genus	0	14	0	0.0
Beijerinckia indica	533	species	4418616	31	0	0.0
Zymomonas mobilis	542	species	2426073	3	0	0.0
Citrobacter koseri	545	species	4735357	8	8	0.0
Enterobacter cloacae	550	species	10083180	1	0	0.0
Erwinia amylovora	552	species	3869718	1	0	0.0
Pantoea ananatis	553	species	4842757	1	0	0.0
Escherichia coli	562	species	12319210	557	30	3.41795e-12
Escherichia fergusonii	564	species	4643861	521	0	1.80546e-11
Klebsiella pneumoniae	573	species	15713353	1	0	0.0
Morganella morganii	582	species	3853791	1	0	0.0
Proteus mirabilis	584	species	5337360	2	0	0.0
Proteus vulgaris	585	species	3794983	2	0	0.0
Providencia stuartii	588	species	6521015	1	0	0.0
Serratia marcescens	615	species	8465231	1	0	0.0
Shigella boydii	621	species	4698475	513	2	1.81486e-14
Shigella dysenteriae	622	species	4560911	242	1	0.0
Shigella flexneri	623	species	4763519	522	0	9.13715e-12
Shigella sonnei	624	species	6798914	524	0	0
Xenorhabdus nematophila	628	species	4586662	11	0	0.0
Aeromonas hydrophila	644	species	7739252	2	2	0.0
Vibrio cholerae	666	species	6170861	1	0	0.0
Vibrio parahaemolyticus	670	species	10344823	1	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	298	57	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	1	0	0.0
Actinobacillus suis	716	species	2501598	1	0	0.0
Actinobacillus equuli	718	species	2431533	1	0	0.0
Haemophilus influenzae	727	species	2672708	4	0	0.0
Haemophilus parainfluenzae	729	species	2086875	237	0	0.0
[Haemophilus] ducreyi	730	species	10121291	5	2	0.0
Histophilus somni	731	species	2138367	3	0	0.0
Aggregatibacter aphrophilus	732	species	3520359	237	0	0.0
[Haemophilus] parasuis	738	species	4546750	6	1	0.0
Pasteurella multocida	747	species	2546987	4	0	0.0
Gallibacterium anatis	750	species	2694139	4	0	0.0
Anaplasma	768	genus	0	14	0	0.0
Anaplasma centrale	769	species	1206806	24	0	0.0
Anaplasma marginale	770	species	1200061	10	0	0.0
Bartonella bacilliformis	774	species	1444212	1	0	0.0
Coxiella burnetii	777	species	2076694	3	2	0.0
Ehrlichia ruminantium	779	species	2264626	4	0	0.0
Rickettsia	780	genus	0	10	0	0.0
Rickettsia conorii	781	species	1268755	23	0	0.0
Rickettsia prowazekii	782	species	1111249	23	0	0.0
Rickettsia rickettsii	783	species	1265141	17	0	0.0
Orientia tsutsugamushi	784	species	2068019	9	0	0.0
Rickettsia typhi	785	species	1112275	23	0	0.0
Rickettsia akari	786	species	1231060	15	0	0.0
Rickettsia australis	787	species	1323280	5	0	0.0
Rickettsia canadensis	788	species	1155000	39	30	0.0
Bartonella quintana	803	species	1584515	1	0	0.0
Bacteroides	816	genus	0	3	0	0.0
Bacteroides fragilis	817	species	7824806	130	0	0.0
Bacteroides thetaiotaomicron	818	species	6390542	249	5	0.0
Bacteroides vulgatus	821	species	5163189	180	8	9.15013e-07
Parabacteroides distasonis	823	species	4811379	383	72	0.0
Campylobacter gracilis	824	species	2281652	9	0	0.0
Campylobacter ureolyticus	827	species	1641887	2	1	0.0
Fibrobacter succinogenes	833	species	7685639	1	1	0.0
Porphyromonas gingivalis	837	species	2343668	14	5	0.0
Prevotella ruminicola	839	species	3619559	1	0	0.0
Wolinella succinogenes	844	species	2110355	1	0	0.0
Fusobacterium nucleatum	851	species	2948417	2	0	0.0
Syntrophomonas wolfei	863	species	2936195	1	0	0.0
Dichelobacter nodosus	870	species	1389350	1	1	0.0
Desulfovibrio	872	genus	0	22	0	0.0
Desulfovibrio africanus	873	species	4200534	11	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	19	0	0.0
Desulfovibrio salexigens	880	species	4289847	12	3	0.0
Desulfovibrio vulgaris	881	species	3802302	112	43	0.0
Desulfobulbus	893	genus	0	2	0	0.0
Desulfobulbus propionicus	894	species	3851869	135	1	0.0
Desulfococcus	896	genus	0	1	0	0.0
Desulfococcus multivorans	897	species	4455399	15	3	0.0
Desulfomicrobium baculatum	899	species	3942657	17	0	0.0
Acidaminococcus fermentans	905	species	2329769	1	0	0.0
Megasphaera elsdenii	907	species	2504349	2	0	0.0
Nitrobacter hamburgensis	912	species	5011522	2	0	0.0
Nitrobacter winogradskyi	913	species	3402093	2	0	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	3	1	0.0
Starkeya novella	921	species	4765023	22	0	0.0
Thiomonas intermedia	926	species	3462095	1	0	0.0
Halothiobacillus neapolitanus	927	species	2582886	20	9	0.0
Hydrogenobacter thermophilus	940	species	3486067	2	0	0.0
Ehrlichia canis	944	species	1315030	3	0	0.0
Ehrlichia chaffeensis	945	species	1174554	5	2	0.0
Anaplasma phagocytophilum	948	species	1493914	24	0	0.0
Neorickettsia risticii	950	species	879977	5	0	0.0
Neorickettsia sennetsu	951	species	859006	5	0	0.0
Francisella persica	954	species	3057444	1	0	0.0
Bdellovibrio bacteriovorus	959	species	3652240	1	1	0.0
Herbaspirillum seropedicae	964	species	8221139	21	1	0.0
Selenomonas ruminantium	971	species	3631933	5	1	0.0
Pedobacter heparinus	984	species	5167383	14	2	0.0
Cytophaga hutchinsonii	985	species	4433218	1	1	0.0
Flavobacterium johnsoniae	986	species	5603295	3903	11	0.0
Solitalea canadensis	995	species	5202069	345	308	0.0
Flavobacterium columnare	996	species	6492116	3892	2	0.0
Saprospira grandis	1008	species	4400185	1	0	0.0
Weeksella virosa	1014	species	2272954	1	1	0.0
Capnocytophaga ochracea	1018	species	2612925	1	0	0.0
Chromatiaceae	1046	family	0	1	0	0.0
Allochromatium vinosum	1049	species	3669074	18	0	0.0
Halorhodospira halophila	1053	species	2678452	54	4	0.0
Rhodobacter	1060	genus	0	3	0	0.0
Rhodobacter capsulatus	1061	species	3871920	5	0	0.0
Rhodobacter sphaeroides	1063	species	5768316	6	3	0.0
Rhodomicrobium vannielii	1069	species	4014469	5	0	0.0
Rhodopseudomonas palustris	1076	species	5408501	50	21	0.0
Blastochloris viridis	1079	species	11174693	11	0	0.0
Rhodospirillum	1081	genus	0	2	0	0.0
Pararhodospirillum photometricum	1084	species	3876289	6	0	0.0
Rhodospirillum rubrum	1085	species	4379691	257	17	0.0
Chlorobium	1091	genus	0	10	0	0.0
Chlorobium limicola	1092	species	2763181	93	0	0.0
Chlorobium phaeovibrioides	1094	species	1966858	90	0	0.0
Chlorobium phaeobacteroides	1096	species	2935152	152	3	0.0
Chlorobaculum tepidum	1097	species	2154946	147	0	0.0
Pelodictyon luteolum	1100	species	2364842	99	0	0.0
Prosthecochloris aestuarii	1102	species	2579695	102	0	0.0
Porphyrobacter neustonensis	1112	species	3090363	3	0	0.0
Oscillatoria	1158	genus	0	1	0	0.0
Anabaena	1163	genus	0	1	0	0.0
Trichormus azollae	1164	species	5486145	2	0	0.0
Anabaena cylindrica	1165	species	7063285	2	0	0.0
Nostoc	1177	genus	0	1	0	0.0
Calothrix	1186	genus	0	1	0	0.0
Fischerella	1190	genus	0	1	0	0.0
Nitrosococcus oceani	1229	species	3522111	18	3	0.0
Nitrosospira multiformis	1231	species	3234309	5	2	0.0
Leuconostoc gelidum	1244	species	1966103	3	0	0.0
Leuconostoc mesenteroides	1245	species	1966146	5	0	0.0
Leuconostoc lactis	1246	species	1788069	5	0	0.0
Leuconostoc carnosum	1252	species	1773468	5	0	0.0
Finegoldia magna	1260	species	1986740	19	16	0.0
Ruminococcus albus	1264	species	4482087	2	0	0.0
Staphylococcus aureus	1280	species	7252422	2	0	0.0
Staphylococcus carnosus	1281	species	2605765	1	0	0.0
Staphylococcus epidermidis	1282	species	3296362	6	4	0.0
Staphylococcus haemolyticus	1283	species	2629003	2	0	0.0
Staphylococcus hyicus	1284	species	2472129	113	1	0.0
Staphylococcus simulans	1286	species	2647552	1	0	0.0
Staphylococcus xylosus	1288	species	8411206	2	0	0.0
Staphylococcus warneri	1292	species	2560716	2	0	0.0
Staphylococcus schleiferi	1295	species	12494798	1	0	0.0
Deinococcus radiodurans	1299	species	6628921	2	0	0.0
Streptococcus gordonii	1302	species	3335036	2	0	0.0
Streptococcus oralis	1303	species	1958690	1	0	0.0
Streptococcus salivarius	1304	species	3636237	2	0	0.0
Streptococcus suis	1307	species	2683756	2	0	0.0
Streptococcus thermophilus	1308	species	3463400	3	1	0.0
Streptococcus mutans	1309	species	2017559	14	13	0.0
Streptococcus agalactiae	1311	species	5721038	3	3	0.0
Streptococcus pneumoniae	1313	species	2272871	3	1	0.0
Streptococcus anginosus	1328	species	2557124	2	0	0.0
Streptococcus intermedius	1338	species	1963517	2	0	0.0
Streptococcus parauberis	1348	species	2143887	1	0	0.0
Streptococcus uberis	1349	species	1852352	1	0	0.0
Enterococcus faecalis	1351	species	3401628	10	2	0.0
Enterococcus faecium	1352	species	5898717	5	0	0.0
Enterococcus gallinarum	1353	species	3821349	7	0	0.0
Enterococcus hirae	1354	species	2908247	6	0	0.0
Lactococcus lactis	1358	species	2704731	17	15	0.0
Lactococcus garvieae	1363	species	1957049	3	0	0.0
Lactococcus piscium	1364	species	2503066	4	2	0.0
Aerococcus urinae	1376	species	2027618	8	1	0.0
Aerococcus viridans	1377	species	2199877	12	0	0.0
Bacillus anthracis	1392	species	17446789	4	3	0.0
Brevibacillus brevis	1393	species	6296436	3	0	0.0
Bacillus cereus	1396	species	9676532	2	1	0.0
Bacillus coagulans	1398	species	4327944	9	0	0.0
Bacillus licheniformis	1402	species	8559910	3	0	0.0
Bacillus megaterium	1404	species	5334474	1	0	0.0
Bacillus mycoides	1405	species	11312355	1	0	0.0
Paenibacillus polymyxa	1406	species	6883167	5	1	0.0
Lysinibacillus sphaericus	1421	species	14371778	1	0	0.0
Geobacillus stearothermophilus	1422	species	3676494	2	0	0.0
Bacillus subtilis	1423	species	7550081	2	1	0.0
Bacillus thuringiensis	1428	species	10269592	3	0	0.0
Amphibacillus xylanus	1449	species	2569486	81	0	0.0
Geobacillus kaustophilus	1462	species	3592666	2	0	0.0
Paenibacillus larvae	1464	species	4056006	2	0	0.0
Bacillus methanolicus	1471	species	3425208	3	0	0.0
Sporosarcina psychrophila	1476	species	4674191	1	0	0.0
Bacillus simplex	1478	species	5521719	5	0	0.0
Bacillus smithii	1479	species	3381292	3	0	0.0
Clostridium botulinum	1491	species	4637504	412	1	0.0
Clostridium butyricum	1492	species	13843423	1	0	0.0
Clostridium cellulovorans	1493	species	5262222	1	0	0.0
Clostridioides difficile	1496	species	6297836	193	149	0.0
Clostridium formicaceticum	1497	species	4586755	80	0	0.0
Clostridium pasteurianum	1501	species	7159922	4	0	0.0
Clostridium perfringens	1502	species	6907798	11	9	0.0
Clostridium sporogenes	1509	species	8284974	398	0	0.0
[Clostridium] stercorarium	1510	species	4042789	5	0	0.0
Acetoanaerobium sticklandii	1511	species	2715461	23	7	0.0
Clostridium tetani	1513	species	2869591	405	3	0.0
Ruminiclostridium thermocellum	1515	species	3634338	14	0	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2840014	6	0	0.0
Clostridium tyrobutyricum	1519	species	3134437	396	0	0.0
Clostridium beijerinckii	1520	species	6161692	4	0	0.0
[Clostridium] cellulolyticum	1521	species	4068724	6	0	0.0
Moorella thermoacetica	1525	species	5377887	1	0	0.0
Clostridium kluyveri	1534	species	3989551	394	0	0.0
Clostridium ljungdahlii	1538	species	4630065	123	0	0.0
Clostridium novyi	1542	species	2547720	2	0	0.0
Clostridium scatologenes	1548	species	5749410	3	0	0.0
Gottschalkia acidurici	1556	species	3108248	39	24	0.0
Clostridium baratii	1561	species	3338630	3	0	0.0
Desulfotomaculum ruminis	1564	species	3969014	6	1	0.0
Desulfotomaculum nigrificans	1565	species	2892255	2	0	0.0
Halobacillus halophilus	1570	species	4170008	4	0	0.0
Leifsonia xyli	1575	species	2955779	17	0	0.0
